City	State	Latitude	Longitude
Allegheny	PA	40.4688337	-79.9811947
Anne Arundel	MD	38.9941572	-76.5675971
Bailyville	ME	45.1785601	-67.4416042
Bensalem	PA	40.1086059	-74.943106
Bridgewater	NJ	40.5935847	-74.607564
Broward	FL	26.1518563	-80.4558859
Burlington	MN	46.7606298	-95.7329465
Camp Lejeune	NC	34.6205915	-77.3838416
Cape Girardea	MO	37.3058839	-89.5181476
Coeur d' Alene	ID	47.6662226	-116.810195
Coeur D'Alene	ID	47.6662226	-116.810195
Coto de Caza	CA	33.6041895	-117.5869923
Couer d'Alene	ID	47.6662226	-116.810195
Deland	FL	29.028318	-81.3031179
Deptford	NJ	39.8156383	-75.1181743
East Hempfield	PA	40.0824744	-76.3830283
East Windsor	NJ	40.2564566	-74.5057105
Ellicott	MD	39.2722233	-76.8342021
Eurgene	OR	44.0520691	-123.0867536
Evesham	NJ	39.8602049	-74.8945912
Fort Gratiot	MI	43.044797	-82.484295
Ft. Thomas	KY	39.0801342	-84.4517928
Ft. Worth	TX	32.7805876	-97.346831
Howell	NJ	40.1819501	-74.1976372
Jupiter Farms	FL	26.9225311	-80.2191191
KENT	OH	41.1536674	-81.357886
Lacompte	LA	31.0881448	-92.3998903
Land O'Lakes	FL	28.2188992	-82.4575938
Lawrence	NJ	40.2955352	-74.7203694
Levvittown	NY	40.7259336	-73.5142921
Litte Rock	AR	34.7253942	-92.358374
Little Egg Harbor	NJ	39.5429694	-74.336498
Long Island	NY	40.7448241	-73.9487491
Lower Frankford	PA	40.2426783	-77.2944737
Marlborough	PA	40.3572414	-75.4499219
McArthur	WV	37.7584479	-81.2126006
Mc Keesport	PA	40.3478472	-79.864215
Miami-Dade	FL	25.6089682	-80.4986668
Monnmouth	IL	40.9142328	-90.6419466
Mt. Pleasant	MI	43.5978075	-84.7675139
Mt. Sinai	NY	40.9470432	-73.0295495
New Hanover	NC	34.1814084	-77.865614
New Independence	MN	46.9822254	-92.4917152
New York City	NY	40.7142691	-74.0059729
Niagara Falls City	NY	43.0920922	-79.0147317
North Kingston	RI	41.4803791	-71.5225598
North Londonderry	PA	40.3227401	-76.5866911
Notre Dame	IN	41.7012343	-86.2378152
Orcas Island	WA	48.5978797	-122.9446258
Pinole City	CA	38.0105623	-122.3196897
Port Huron Township	MI	42.9708634	-82.4249142
Port Saint Joe	FL	29.8118757	-85.302974
Port Saint Lucie	FL	27.2939333	-80.3503283
Princeton Borough	NJ	40.350468	-74.6594483
Qeens	NY	40.7498243	-73.7976337
Readington Twp.	NJ	40.5821899	-74.7796578
Rockaway	NY	40.6431768	-73.6672048
Rock  Hill	SC	34.2518165	-81.2550938
Roxbury	NJ	40.8821407	-74.6523734
San Fernando Valley	CA	34.2511794	-118.4188833
San Jacinto Valley	CA	33.7969759	-116.9915017
Sante Fe	NM	35.6655361	-105.9738861
Shawnee	MO	38.3486948	-94.235719
Southhampton	NY	40.884267	-72.3895296
South Middleton	PA	40.1322685	-77.1641209
Southold Town	NY	41.1394561	-72.3174428
South St. Paul	MN	44.8874144	-93.0407923
Spring Valley Lake	CA	34.493641	-117.268324
St. Albans	VT	44.810879	-73.0831924
St. Amant	LA	30.2246409	-90.868986
St. Andrews	SC	32.7818435	-79.9850904
St. Charles	IL	41.9191335	-88.31128
St. Charles	MO	38.7959109	-90.5154168
St. Cloud	FL	28.2296342	-81.2854466
St. Cloud	MN	45.5339146	-94.171833
Sterling Hights	MI	42.5803122	-83.0302033
St. John	IN	41.443536	-87.4692361
St. Joseph	MI	42.109762	-86.4800228
St. Louis	MO	38.6272733	-90.1978889
St. Louis County	MO	38.6406843	-90.4434123
St. Marys	GA	30.730514	-81.5464851
St. Matthews	KY	38.2528489	-85.6557947
St. Paul	MN	44.9444101	-93.0932742
St. Peters	MO	38.8003294	-90.6265121
St. Petersburg	FL	27.7614056	-82.6429822
St. Tammany	LA	30.3940826	-89.8950698
Thiboudaux	LA	29.7942565	-90.8163928
Upper Deerfield	NJ	39.4933711	-75.2160362
Upper Moreland	PA	40.1571993	-75.1020594
Upper Saint Clair	PA	40.3335942	-80.08419
Washington D.C.	DC	38.9047723	-77.0162889
Washington, D.C.	DC	38.9047723	-77.0162889
Westlake Viliage	CA	34.1458389	-118.8056474
Wilson Borough	PA	40.6849883	-75.2406572
